canonical_venue_id,venue_name,latitude,longitude,address,city,source_platform,price_type,menu_section,item_name,item_description,raw_price,price_eur,currency,item_type,normalized_product,confidence,allergens,source_url,retrieved_at
acdcfd3c482c,Chihuahua Tacos,45.4523334,9.181953,"Viale Col di Lana, 1, Milano, Italia",Milano,mycia,menu,TACOS DORADOS (2 tostadas con tortillas di Mais da 12 Cm),DORADO DE POLLITO (gluten free),"Pollo al forno speziato e marinato, lattuga, mayo di chile jalapenos, cavolo viola, funghi alla piastra, pico de gallo, salsa rossa, lime e coriandolo",10,10.0,EUR,non_drink,,low,,https://www.mycia.it/menu/milano/chihuahua-tacos-tBHgJ7iPU,2026-05-30T17:19:04.708535+00:00
89149a7ca0a0,20,45.4596054,9.1821442,"Via Celestino IV, 9, Milan, Metropolitan City of Milan, Italy",Milano,mycia,menu,BIRRA ALLA SPINA,Oberbrau,piccola,4,4.0,EUR,drink,,low,,https://www.mycia.it/menu/milano/20-FevXZ8B5O,2026-05-30T17:19:11.056151+00:00
89149a7ca0a0,20,45.4596054,9.1821442,"Via Celestino IV, 9, Milan, Metropolitan City of Milan, Italy",Milano,mycia,menu,BIRRA ALLA SPINA,Konig Ludwing,media,6,6.0,EUR,drink,,low,,https://www.mycia.it/menu/milano/20-FevXZ8B5O,2026-05-30T17:19:11.056151+00:00
89149a7ca0a0,20,45.4596054,9.1821442,"Via Celestino IV, 9, Milan, Metropolitan City of Milan, Italy",Milano,mycia,menu,BIRRA ALLA SPINA,Konig Ludwing,piccola,4,4.0,EUR,drink,,low,,https://www.mycia.it/menu/milano/20-FevXZ8B5O,2026-05-30T17:19:11.056151+00:00
f79d81590e1c,Agua Sancta,45.4792375,9.1859923,"Corso Garibaldi, 110, Milan, Metropolitan City of Milan, Italy",Milano,mycia,menu,MARGARITAS,Agua Sancta,"Tequila Don Julio agli agrumi, triple sec, lime, agave",10,10.0,EUR,non_drink,,low,,https://www.mycia.it/menu/milano/agua-sancta-5vb7YsraC,2026-05-30T17:19:31.112920+00:00
f79d81590e1c,Agua Sancta,45.4792375,9.1859923,"Corso Garibaldi, 110, Milan, Metropolitan City of Milan, Italy",Milano,mycia,menu,MARGARITAS,Caliente,"Tequila espolon, lime, triplesec, tequila allhabanero",10,10.0,EUR,non_drink,,low,,https://www.mycia.it/menu/milano/agua-sancta-5vb7YsraC,2026-05-30T17:19:31.112920+00:00
f79d81590e1c,Agua Sancta,45.4792375,9.1859923,"Corso Garibaldi, 110, Milan, Metropolitan City of Milan, Italy",Milano,mycia,menu,MARGARITAS,Tommy Smoky,"Tequila altos blanco, mezcal, lime, agave",12,12.0,EUR,non_drink,,low,,https://www.mycia.it/menu/milano/agua-sancta-5vb7YsraC,2026-05-30T17:19:31.112920+00:00
f79d81590e1c,Agua Sancta,45.4792375,9.1859923,"Corso Garibaldi, 110, Milan, Metropolitan City of Milan, Italy",Milano,mycia,menu,SIGNATURE,Acapulco,"Rum, liquore vaniglia, ananas, lime, ginger beer",12,12.0,EUR,non_drink,,low,,https://www.mycia.it/menu/milano/agua-sancta-5vb7YsraC,2026-05-30T17:19:31.112920+00:00
f79d81590e1c,Agua Sancta,45.4792375,9.1859923,"Corso Garibaldi, 110, Milan, Metropolitan City of Milan, Italy",Milano,mycia,menu,SIGNATURE,La Flaca Reload,"Vodka, vaniglia, estratto carota, passion fruit, prosecco. Bordo cioccolato",12,12.0,EUR,non_drink,,low,,https://www.mycia.it/menu/milano/agua-sancta-5vb7YsraC,2026-05-30T17:19:31.112920+00:00
f79d81590e1c,Agua Sancta,45.4792375,9.1859923,"Corso Garibaldi, 110, Milan, Metropolitan City of Milan, Italy",Milano,mycia,menu,SIGNATURE,Sexy Cosmo,"Vodka, lime, lychee, cranberry",10,10.0,EUR,non_drink,,low,,https://www.mycia.it/menu/milano/agua-sancta-5vb7YsraC,2026-05-30T17:19:31.112920+00:00
f79d81590e1c,Agua Sancta,45.4792375,9.1859923,"Corso Garibaldi, 110, Milan, Metropolitan City of Milan, Italy",Milano,mycia,menu,Tacos,El pastor,"Coppa di maiale speziata, servito con ananas cipolla, coriandolo
Due tortilla di mais morbide per porzione",6,6.0,EUR,non_drink,,low,,https://www.mycia.it/menu/milano/agua-sancta-5vb7YsraC,2026-05-30T17:19:31.112920+00:00
f79d81590e1c,Agua Sancta,45.4792375,9.1859923,"Corso Garibaldi, 110, Milan, Metropolitan City of Milan, Italy",Milano,mycia,menu,Tacos,Pastor y guacamole,"Coppa di maiale speziata, servito con composta di ananas
Due tortilla di mais morbide per porzione",6,6.0,EUR,non_drink,,low,,https://www.mycia.it/menu/milano/agua-sancta-5vb7YsraC,2026-05-30T17:19:31.112920+00:00
f79d81590e1c,Agua Sancta,45.4792375,9.1859923,"Corso Garibaldi, 110, Milan, Metropolitan City of Milan, Italy",Milano,mycia,menu,Tacos,Tinga de pollo,"Pollo alla tinga con lattughino, ricotta salata
Due tortilla di mais morbide per porzione",6,6.0,EUR,non_drink,,low,,https://www.mycia.it/menu/milano/agua-sancta-5vb7YsraC,2026-05-30T17:19:31.112920+00:00
f79d81590e1c,Agua Sancta,45.4792375,9.1859923,"Corso Garibaldi, 110, Milan, Metropolitan City of Milan, Italy",Milano,mycia,menu,Aguachile | Ceviche,Pulpo,"Polpo marinato con lime, cipolla, cetriolo, sedano, aglio, jalapeno, maggiorana, servito con ananas e coriandolo",9,9.0,EUR,non_drink,,low,,https://www.mycia.it/menu/milano/agua-sancta-5vb7YsraC,2026-05-30T17:19:31.112920+00:00
f79d81590e1c,Agua Sancta,45.4792375,9.1859923,"Corso Garibaldi, 110, Milan, Metropolitan City of Milan, Italy",Milano,mycia,menu,Aguachile | Ceviche,Salmon,"Salmone marinato con lime, cipolla, cetriolo, sedano, aglio, jalapeno, maggiorana.
Servito con mango, ravanelli e mais croccante",9,9.0,EUR,non_drink,,low,,https://www.mycia.it/menu/milano/agua-sancta-5vb7YsraC,2026-05-30T17:19:31.112920+00:00
