source_platform,source_venue_id,venue_name,venue_url,address,city,latitude,longitude,categories,price_tier,rating,rating_count,phone,opening_hours,retrieved_at
thefork,497117,Roses Pizza & More,https://www.thefork.it/ristorante/roses-pizza-more-r497117,"Via Cesare Beccaria, 4, 20122, Milano",Milano,45.464405,9.194342,"Piatti vegani, Piatti vegetariani, Pizzeria, Europeo, Italiano",€€,8.8,,,,2026-06-02T09:32:35Z
thefork,378123,Shalimar,https://www.thefork.it/ristorante/shalimar-r378123,"Viale Toscana, 2, 20136, Milano",Milano,45.446649,9.197348,"Indiano, Asiatico",€,8.8,,,,2026-06-02T09:32:35Z
thefork,372553,Farinella,https://www.thefork.it/ristorante/farinella-r372553,"Foro Buonaparte, 71, 20152, Milano",Milano,45.468098,9.181482,"Italiano, Pizzeria, Europeo",€€€,8.5,,,,2026-06-02T09:32:35Z
thefork,68244,Pizzart da Gimmy,https://www.thefork.it/ristorante/pizzart-da-gimmy-r68244,"Corso Lodi, 72, I-20139, Milano",Milano,45.443694,9.216188,"Pizzeria, Europeo, Italiano",€,9.4,,,,2026-06-02T09:32:35Z
thefork,66268,Il Salotto di Milano,https://www.thefork.it/ristorante/il-salotto-di-milano-r66268,"Galleria Vittorio Emanuele II, 80, 20121, Milano",Milano,45.465988,9.190199,"Opzioni senza glutine, Piatti vegetariani, Di Carne, Di Pesce, Italiano, Milanese, Pizzeria, Europeo, Lombardo",€€€,8.8,,,,2026-06-02T09:32:35Z
thefork,54182,Da Gaspare,https://www.thefork.it/ristorante/da-gaspare-r54182,"Via Ravizza, 19, 20154, Milan",Milan,45.468320,9.151590,"Di Pesce, Mediterraneo",€€€€,8.8,,,,2026-06-02T09:32:35Z
thefork,860688,RISTORANTE AL SICOMORO,https://www.thefork.it/ristorante/ristorante-al-sicomoro-r860688,"Via Panfilo Castaldi, 19, 20124, Milano",Milano,45.477278,9.202080,"Piatti vegetariani, Africano, Eritreo",€€,9.7,,,,2026-06-02T09:32:35Z
thefork,824169,B Di Bistrot,https://www.thefork.it/ristorante/b-di-bistrot-r824169,"Via Fra Luca Pacioli, 9, 20144, Milano",Milano,45.456354,9.170955,"Opzioni senza glutine, Piatti vegetariani, Italiano, Mediterraneo, Europeo",€€€,9.4,,,,2026-06-02T09:32:35Z
thefork,745000,Cube,https://www.thefork.it/ristorante/cube-r745000,"Via Solferino, 27, 20121, Milano",Milano,45.478628,9.188206,,€€,8.3,,,,2026-06-02T09:32:35Z
thefork,283725,Metropolitan,https://www.thefork.it/ristorante/metropolitan-r283725,"Via Melchiorre Gioia, 73, I-20124, Milano",Milano,45.489672,9.200630,"Opzioni senza glutine, Piatti vegetariani, Italiano, Mediterraneo, Milanese, Europeo, Lombardo",€€€,8.4,,,,2026-06-02T09:32:35Z
