source_platform,source_venue_id,venue_name,venue_url,address,city,latitude,longitude,categories,price_tier,rating,rating_count,phone,website,opening_hours,has_menu,menu_url,extraction_status,retrieved_at,venue_type,target_classification,has_price,geocoding_confidence,all_names,nil_quartiere,name_source,source_provenance,opening_hours_source
osm,13208960908,The Belliner,,Napoli,Napoli,40.850998,14.250837,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:09:42Z,cafe,TARGET,False,existing,The Belliner,,osm_overpass,osm,typical_by_type
osm,11472824521,Time Cafe,,Napoli,Napoli,40.842416,14.233502,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:09:42Z,cafe,TARGET,False,existing,Time Cafe,,osm_overpass,osm,typical_by_type
osm,6982408056,Time Café,,Napoli,Napoli,40.852424,14.272733,,,,,+39 081 200315,https://www.autogrill.com/,Mo-Su 06:00-22:00,False,,no_price,2026-06-02T10:09:42Z,cafe,TARGET,False,existing,Time Café,,osm_overpass,osm,osm
osm,12788013380,Timing,,"Via Antonio Pitloo 7, Napoli",Napoli,40.845444,14.227031,,,,,+39 351 713 3890,,Tu-Su 18:00-01:30,False,,no_price,2026-06-02T10:09:42Z,cafe,TARGET,False,existing,Timing,,osm_overpass,osm,osm
osm,8933387818,Tonino Tico,,"Via San Biagio dei Librai 70, Napoli",Napoli,40.850088,14.260204,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:09:42Z,cafe,TARGET,False,existing,Tonino Tico,,osm_overpass,osm,typical_by_type
osm,5257944622,Toraldo,,Napoli,Napoli,40.844155,14.254798,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:09:42Z,cafe,TARGET,False,existing,Toraldo,,osm_overpass,osm,typical_by_type
osm,7169838775,Toraldo,,Napoli,Napoli,40.844544,14.259309,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:09:42Z,cafe,TARGET,False,existing,Toraldo,,osm_overpass,osm,typical_by_type
osm,9408662366,Toraldo,,Napoli,Napoli,40.839566,14.295425,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:09:42Z,cafe,TARGET,False,existing,Toraldo,,osm_overpass,osm,typical_by_type
osm,10790765763,Torlado,,Napoli,Napoli,40.839721,14.255012,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:09:42Z,cafe,TARGET,False,existing,Torlado,,osm_overpass,osm,typical_by_type
osm,7158648828,Torraldo,,Napoli,Napoli,40.847601,14.262145,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:09:42Z,cafe,TARGET,False,existing,Torraldo,,osm_overpass,osm,typical_by_type
osm,1058613176,Tradizione Italiana,,Napoli,Napoli,40.877697,14.282163,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:09:42Z,cafe,TARGET,False,existing,Tradizione Italiana,,osm_overpass,osm,typical_by_type
osm,9370248476,Tram Torrena,,Napoli,Napoli,40.831167,14.223787,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:09:42Z,cafe,TARGET,False,existing,Tram Torrena,,osm_overpass,osm,typical_by_type
osm,5469968022,Transatlantico,,Napoli,Napoli,40.828321,14.248834,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:09:42Z,cafe,TARGET,False,existing,Transatlantico,,osm_overpass,osm,typical_by_type
osm,6240086886,Trinity Cafe,,Napoli,Napoli,40.846388,14.251505,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:09:42Z,cafe,TARGET,False,existing,Trinity Cafe,,osm_overpass,osm,typical_by_type
osm,9408611296,Trotta,,"Corso San Giovanni a Teduccio, 80147, Napoli",Napoli,40.837607,14.300865,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:09:42Z,cafe,TARGET,False,existing,Trotta,,osm_overpass,osm,typical_by_type
osm,10872922076,Vanny Caffè,,Napoli,Napoli,40.852202,14.243900,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:09:42Z,cafe,TARGET,False,existing,Vanny Caffè,,osm_overpass,osm,typical_by_type
osm,7177239934,Varco Attivo,,Napoli,Napoli,40.846012,14.254936,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:09:42Z,cafe,TARGET,False,existing,Varco Attivo,,osm_overpass,osm,typical_by_type
osm,9392366949,Vela,,"Via Raffaele Testa, 80146, Napoli",Napoli,40.843716,14.301386,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:09:42Z,cafe,TARGET,False,existing,Vela,,osm_overpass,osm,typical_by_type
osm,7169855303,Venere,,Napoli,Napoli,40.844454,14.259169,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:09:42Z,cafe,TARGET,False,existing,Venere,,osm_overpass,osm,typical_by_type
osm,5623368821,Ventimetriquadri,,"Via Gianlorenzo Bernini 64/a, Napoli",Napoli,40.845323,14.231685,,,,,,,Mo-Sa 09:00-21:00; Su 10:00-17:00,False,,no_price,2026-06-02T10:09:42Z,cafe,TARGET,False,existing,Ventimetriquadri,,osm_overpass,osm,osm
osm,9103525235,Vida,,"Via S. Giovanni Maggiore Pignatelli 17, Napoli",Napoli,40.846233,14.255023,,,,,,,"Tu-Th 22:00-02:00; Fr, Sa 19:00-03:00; Su 19:00-02:00",False,,no_price,2026-06-02T10:09:42Z,cafe,TARGET,False,existing,Vida,,osm_overpass,osm,osm
osm,7169855306,Vigilante,,Napoli,Napoli,40.849514,14.268178,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:09:42Z,cafe,TARGET,False,existing,Vigilante,,osm_overpass,osm,typical_by_type
osm,11238514536,Vigilante,,Napoli,Napoli,40.847306,14.272868,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:09:42Z,cafe,TARGET,False,existing,Vigilante,,osm_overpass,osm,typical_by_type
osm,10861093914,Vino e Caffè,,Napoli,Napoli,40.848065,14.227775,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:09:42Z,cafe,TARGET,False,existing,Vino e Caffè,,osm_overpass,osm,typical_by_type
osm,3058697158,Vintage,,"Via Bagnoli 530, 80124, Napoli",Napoli,40.816269,14.173286,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:09:42Z,cafe,TARGET,False,existing,Vintage,,osm_overpass,osm,typical_by_type
osm,7177239933,Vintage Music Bar,,Napoli,Napoli,40.845342,14.254842,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:09:42Z,cafe,TARGET,False,existing,Vintage Music Bar,,osm_overpass,osm,typical_by_type
osm,12672934935,Vittoria Different,,Napoli,Napoli,40.899284,14.300397,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:09:42Z,cafe,TARGET,False,existing,Vittoria Different,,osm_overpass,osm,typical_by_type
osm,9698116132,Vivarium,,Napoli,Napoli,40.809847,14.336355,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:09:42Z,cafe,TARGET,False,existing,Vivarium,,osm_overpass,osm,typical_by_type
osm,3106284041,Volta,,"Via Vincenzo Bellini 30, Napoli",Napoli,40.851616,14.250437,,,,,+393342343894,https://www.spazivolta.it/,Mo-Su 08:00-02:00; PH closed,False,,no_price,2026-06-02T10:09:42Z,cafe,TARGET,False,existing,Volta,,osm_overpass,osm,osm
osm,3062066765,VyTA,,Napoli,Napoli,40.851742,14.272414,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:09:42Z,cafe,TARGET,False,existing,VyTA,,osm_overpass,osm,typical_by_type
osm,12311435927,Wave,,Napoli,Napoli,40.848157,14.238550,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:09:42Z,cafe,TARGET,False,existing,Wave,,osm_overpass,osm,typical_by_type
osm,6893550285,Wine Boat,,"Vico D'Afflitto, Napoli",Napoli,40.839326,14.247901,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:09:42Z,cafe,TARGET,False,existing,Wine Boat,,osm_overpass,osm,typical_by_type
osm,12895501048,WorkEat,,Napoli,Napoli,40.877928,14.281450,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:09:42Z,cafe,TARGET,False,existing,WorkEat,,osm_overpass,osm,typical_by_type
