canonical_name,all_variants,geo_key,source_provenance,cluster_size,target_classification
Myoshi,Myoshi,"45.4472,9.1771",comune_milano,5,NO_TARGET
Bar Principe,Bar Principe,"45.4606,9.1864",comune|comune_milano|osm,5,TARGET
Bar Murillo,Bar Murillo,"45.4752,9.1432",comune|comune_milano|osm,5,AMBIGUOUS
Denis Milano Ravizza,Denis Milano Ravizza,"45.4677,9.1522",comune_milano,5,NO_TARGET
Bar Chèri,Bar Chèri,"45.4656,9.1893",comune_milano|osm,5,AMBIGUOUS
Jazz Cafè,Jazz Cafè,"45.4773,9.1706",comune|comune_milano|osm,5,TARGET
Pogue Mahone's,Pogue Mahone's,"45.4507,9.2037",comune|comune_milano|osm,5,TARGET
L'Ultimo Metrò,L'Ultimo Metrò | Pizzeria Partenopea,"45.4905,9.2217",comune_milano|osm|thefork,5,TARGET
Ugo Cocktail Bar,UGO | Ugo Cocktail Bar,"45.4519,9.1736",comune|comune_milano|osm,5,AMBIGUOUS
Smmak Navigli,Smmak Navigli,"45.4494,9.1776",comune|comune_milano|osm,5,AMBIGUOUS
Gran Caffé,Gran Caffé,"45.4623,9.2047",comune_milano|osm,5,AMBIGUOUS
Bar Queen,Bar Queen,"45.4696,9.2241",comune|comune_milano|osm,5,TARGET
Bar al 57,Bar al 57,"45.4567,9.1725",comune|comune_milano|osm,5,AMBIGUOUS
Todos a Cuba,Todos a Cuba,"45.4578,9.1804",comune|comune_milano|osm,5,TARGET
Pizzeria Il Faraone,Pizzeria Il Faraone,"45.4549,9.1989",comune_milano,5,NO_TARGET
QQTEA,QQTEA,"45.4811,9.1736",comune_milano|osm,5,AMBIGUOUS
Changcheng Noddle House,Changcheng Noodle House | Changcheng Noddle House,"45.4565,9.1701",comune_milano|thefork,5,NO_TARGET
Pico Brew Station,Pico Brew Station,"45.4451,9.1767",comune|comune_milano|osm,5,TARGET
Bar Metro,Bar Metro,"45.4660,9.1494",comune|comune_milano|osm,5,TARGET
Amaretto Caffé,Amaretto Caffé,"45.4658,9.1740",comune_milano|osm,5,AMBIGUOUS
Jack the brewer,Jack the brewer,"45.4550,9.1616",comune|comune_milano|osm,5,TARGET
Pezzotti Bar,Pezzotti Bar,"45.4422,9.1833",comune|comune_milano|osm,5,AMBIGUOUS
Memà,Memà,"45.4771,9.2048",comune_milano|osm,5,TARGET
La Darsena,La Darsena,"45.4518,9.1800",comune|comune_milano|osm,5,TARGET
La Cantinetta,La Cantinetta,"45.4935,9.2191",comune|comune_milano|osm,5,TARGET
Bar Fusina Di Crescente Nicola,Bar Fusina Di Crescente Nicola,"45.4689,9.2299",comune|comune_milano|osm,5,AMBIGUOUS
Bar Torrefezione,Bar Torrefezione,"45.4726,9.1427",comune|comune_milano|osm,5,TARGET
Village Café,Village Café | Village Cafè Bistrot,"45.4511,9.1724",comune|comune_milano|osm|thefork,5,AMBIGUOUS
Le Jardin Bistrot,Le Jardin Bistrot,"45.4616,9.1851",comune_milano|osm,5,TARGET
Bar Bollicine,Bar Bollicine,"45.5019,9.2103",comune|comune_milano|osm,5,TARGET
Lily,Lily,"45.4830,9.2412",comune|comune_milano|osm,5,AMBIGUOUS
La Siesta,La Siesta,"45.4779,9.1768",comune_milano|osm,5,TARGET
Nuova Milano,Nuova Milano,"45.4380,9.2436",comune|comune_milano|osm|thefork,5,TARGET
Gypsian Club,Gypsian Club,"45.4792,9.2469",comune|comune_milano|osm,5,AMBIGUOUS
P14 Bicocca,P14 Bicocca,"45.5157,9.2116",comune|comune_milano|osm,5,TARGET
Maison Bretonne,Maison Bretonne,"45.4810,9.1668",comune_milano|osm|thefork,5,AMBIGUOUS
Happy Cafè,Happy Cafè,"45.4515,9.1866",comune|comune_milano|osm,5,TARGET
Debbie's,Debbie's,"45.4738,9.1836",comune_milano|osm,5,TARGET
Wave Cocktail Bar,Wave Cocktail Bar,"45.4593,9.1773",comune|comune_milano|osm,5,TARGET
Bere Buona Birra,Bere Buona Birra,"45.4481,9.2051",comune|comune_milano|osm,5,TARGET
Pick 'N Roll Sport Pub,Pick 'N Roll Sport Pub,"45.4963,9.1407",comune|comune_milano|osm,5,TARGET
Caffe Napoli,Caffe Napoli,"45.4629,9.1970",comune_milano|osm,5,AMBIGUOUS
Blackout Lounge Bar,Blackout Lounge Bar,"45.4802,9.2178",comune|comune_milano|osm,5,TARGET
Bar 2,Bar 2,"45.4507,9.1971",comune|comune_milano|osm,5,TARGET
Cambusa 2.0,Cambusa 2.0,"45.4586,9.1492",comune|comune_milano|osm,5,TARGET
烤肉工厂·贰 Fabbrica di Grill - Viale Monza,Fabbrica di grill | 烤肉工厂·贰 Fabbrica di Grill - Viale Monza,"45.5005,9.2212",comune_milano|thefork,5,NO_TARGET
3D Bar,3D Bar,"45.5200,9.1690",comune|comune_milano|osm,5,TARGET
B Cafè,B Cafè,"45.4627,9.1834",comune|comune_milano|osm,5,TARGET
La liberazione,La liberazione,"45.4634,9.2304",comune|comune_milano|osm,5,AMBIGUOUS
Venus Night Club,Venus Night Club,"45.4627,9.1895",comune|comune_milano|osm,5,TARGET
Barbarian's,Barbarian's,"45.4708,9.2280",comune|comune_milano|osm,5,TARGET
Bicchierino bar,Bicchierino bar,"45.4506,9.1489",comune|comune_milano|osm,5,TARGET
Porta d'Oro,Porta d'Oro,"45.4623,9.1904",comune|comune_milano|osm,5,TARGET
Love Bar,Love Bar,"45.4727,9.2098",comune|comune_milano|osm,5,TARGET
Apophis Club,Apophis Club,"45.4627,9.1960",comune|comune_milano|osm,5,AMBIGUOUS
Osteria Nanìn,Osteria Nanìn,"45.4341,9.2407",comune_milano,5,NO_TARGET
La sera allo zoo,La sera allo zoo,"45.4752,9.2077",comune|comune_milano|osm,5,TARGET
Funky,Funky,"45.4516,9.1746",comune|comune_milano|osm,5,TARGET
Matilde Bakery,Matilde Bakery,"45.4643,9.1879",comune_milano|osm,5,AMBIGUOUS
Bar Boschetti,Bar Boschetti,"45.5122,9.1274",comune|comune_milano|osm,5,TARGET
J. Blend,J. Blend,"45.4535,9.2248",comune|comune_milano|osm,5,TARGET
Brooklyn Pub,Brooklyn Pub,"45.4784,9.1551",comune|comune_milano|osm,5,TARGET
My Chef Briciole Bar,My Chef Briciole Bar,"45.4582,9.1881",comune|comune_milano|osm,5,AMBIGUOUS
Ooops,Ooops,"45.4406,9.2134",comune|comune_milano|osm,5,TARGET
PoP,PoP,"45.4763,9.2051",comune|comune_milano|osm,5,TARGET
Cape Town Cafe,Cape Town Cafe,"45.4527,9.1757",comune|osm,5,TARGET
Teddy bar,Teddy bar,"45.4771,9.2048",comune|osm,5,TARGET
King's Pub,King's Pub,"45.4512,9.1777",comune|osm,5,TARGET
Ai Tre Morsi,Ai Tre Morsi,"45.4659,9.1764",comune|osm,5,AMBIGUOUS
Ultramarino,Ultramarino,"45.4741,9.2093",comune|osm,5,AMBIGUOUS
Red Cassala,Red Cassala | Cassala,"45.4450,9.1636",comune|osm,5,TARGET
Marlà Pasicceria,Marla’Pasticceria | Marla’ Pasticceria | Marlà Pasicceria,"45.4504,9.2063",comune|osm,5,TARGET
Altrè,Altrè,"45.4708,9.2118",comune_milano|thefork,4,NO_TARGET
Le Presine Volanti,Le Presine Volanti,"45.4612,9.2095",comune_milano|thefork,4,NO_TARGET
Emipiace,Emipiace,"45.4560,9.2047",comune_milano|thefork,4,NO_TARGET
Osteria della darsena,Osteria della Darsena | Osteria della darsena,"45.4527,9.1758",comune_milano|thefork,4,NO_TARGET
Caffè Novecento,Caffè Novecento,"45.4819,9.1874",comune_milano|osm,4,AMBIGUOUS
Il lambrettino,Il lambrettino,"45.4787,9.2473",comune|comune_milano|osm,4,TARGET
Ristorante Replay,Ristorante Replay,"45.4645,9.1938",comune_milano|thefork,4,NO_TARGET
Il Nuovo Yacht,Nuovo Yacht | Il Nuovo Yacht,"45.4695,9.1538",comune_milano|thefork,4,NO_TARGET
Caffè del Corso,Caffè del Corso,"45.4400,9.2234",comune|comune_milano|osm,4,TARGET
Just Cafè,Just Cafè,"45.4603,9.1772",comune_milano|osm,4,TARGET
Cascina Moncucco,La Cascina Moncucco | Cascina Moncucco,"45.4396,9.1662",comune_milano|thefork,4,NO_TARGET
DG Martini,DG Martini,"45.4682,9.1984",comune_milano|osm,4,TARGET
Sushi Li,Sushi Li,"45.4616,9.1877",comune_milano,4,NO_TARGET
Bomaki Sanzio - Milano,Bomaki Sanzio | Bomaki Sanzio - Milano,"45.4680,9.1514",comune_milano|thefork,4,NO_TARGET
Vanilla Bakery,Vanilla Bakery,"45.4694,9.1548",comune_milano|thefork,4,NO_TARGET
DecidiTu,DecidiTu,"45.4705,9.2461",comune_milano|osm,4,TARGET
GustaMi,GustaMi,"45.4706,9.2009",comune_milano|osm,4,TARGET
Bar Jessica,Bar Jessica,"45.4498,9.1365",comune_milano|osm,4,AMBIGUOUS
Buatta Caffetteria,Buatta Caffetteria,"45.4940,9.1529",comune_milano|osm,4,TARGET
Rose by Mary dispensa,Rose by Mary dispensa,"45.4634,9.1993",comune_milano|osm,4,AMBIGUOUS
Cilea,Cilea,"45.4973,9.1062",comune_milano|osm,4,AMBIGUOUS
La Prosciutteria,La Prosciutteria,"45.4743,9.1834",comune_milano,4,NO_TARGET
La Locanda del Gatto Rosso,La Locanda del Gatto Rosso,"45.4653,9.1907",comune_milano,4,NO_TARGET
Royal Garden,Royal Garden,"45.4467,9.1255",comune_milano,4,NO_TARGET
Bar Farenheit,Bar Farenheit,"45.5015,9.1887",comune_milano|osm,4,AMBIGUOUS
Chiaravalle Bakery and Coffee,Chiaravalle Bakery and Coffee,"45.4161,9.2404",comune_milano|osm,4,TARGET
Guido Gobino,Guido Gobino,"45.4660,9.1761",comune_milano|osm,4,AMBIGUOUS
Bar Lisa,Bar Lisa,"45.4331,9.2012",comune_milano|osm,4,TARGET
Fòla,Fòla,"45.4932,9.2170",comune_milano|osm,4,AMBIGUOUS
Le Magie,Le Magie,"45.4711,9.1598",comune_milano|osm,4,AMBIGUOUS
Joy Bistrot & Cafe,Joy Bistrot & Cafe,"45.4508,9.1907",comune_milano|osm,4,TARGET
Icon Cafe,Icon Cafe,"45.4857,9.1631",comune_milano|osm,4,TARGET
Caffè Amore Bistrot,Caffè Amore Bistrot,"45.4936,9.1828",comune_milano|osm|thefork,4,TARGET
El Carbonazo,El Carbonazo,"45.4750,9.1394",comune_milano,4,NO_TARGET
La Taverna,La Taverna,"45.4619,9.2134",comune_milano|osm,4,TARGET
Da Cri,Da Cri,"45.5029,9.1766",comune_milano|osm,4,AMBIGUOUS
Tocqueville,Tocqueville | Gòodurie Soresina Via Tocqueville,"45.4824,9.1864",comune|comune_milano|osm|thefork,4,AMBIGUOUS
La Rocchetta Caffe Bistrot,La Rocchetta Caffe Bistrot,"45.4676,9.1766",comune_milano|osm,4,AMBIGUOUS
Cafè Sport,Cafè Sport,"45.4509,9.2250",comune_milano|osm,4,AMBIGUOUS
Bar Fortuna,Bar Fortuna,"45.4445,9.1548",comune|comune_milano|osm,4,AMBIGUOUS
Tommy's Bar,Tommy's Bar,"45.4784,9.1924",comune_milano|osm,4,AMBIGUOUS
Gli Orti del Belvedere,Gli Orti del Belvedere,"45.4550,9.2002",comune_milano|thefork,4,NO_TARGET
Bar della Crocetta,Bar della Crocetta,"45.4564,9.1955",comune_milano|osm,4,AMBIGUOUS
