canonical_name,all_variants,geo_key,source_provenance,cluster_size,target_classification
Montesoprano,Montesoprano,"45.4521,9.1771",comune_milano,3,NO_TARGET
Blues cafè,Blues cafè,"45.4970,9.1702",comune_milano|osm,3,TARGET
Orsonero Coffee,Orsonero Coffee,"45.4778,9.2112",comune_milano|osm,3,TARGET
Trattoria Bovisa,Trattoria Bovisa,"45.5036,9.1619",comune_milano,3,NO_TARGET
Boom,Boom,"45.4633,9.2244",comune|comune_milano|osm,3,AMBIGUOUS
Mercurio,Mercurio,"45.4868,9.2185",comune_milano|osm,3,AMBIGUOUS
California Bakery,California Bakery,"45.4533,9.1806",comune_milano,3,NO_TARGET
DCafé,DCafé,"45.5013,9.1972",comune_milano|osm,3,TARGET
n'ombra de vin,n'ombra de vin,"45.4735,9.1880",comune|comune_milano|osm,3,TARGET
Il Gatto e la Volpe,Il Gatto e la Volpe,"45.4899,9.2050",comune_milano|osm,3,AMBIGUOUS
Cheri,Cheri,"45.4806,9.2021",comune_milano|osm,3,AMBIGUOUS
Bar degli Amici,Bar degli Amici,"45.4368,9.2126",comune_milano|osm,3,AMBIGUOUS
Taipy,Taipy,"45.4577,9.1765",comune_milano|osm,3,TARGET
Bar Dani,Bar Dani,"45.4841,9.2411",comune|comune_milano|osm,3,TARGET
Vogue bar,Vogue bar,"45.4571,9.1833",comune_milano|osm,3,TARGET
Birrificio Lambrate,Birrificio Lambrate,"45.4857,9.2315",comune|comune_milano|osm,3,TARGET
Urban Wave,Urban Wave,"45.4488,9.1978",comune|comune_milano|osm,3,TARGET
Bar Tabacchi Ravizza,Bar Tabacchi Ravizza,"45.4690,9.1503",comune_milano|osm,3,TARGET
Felix,Felix,"45.4514,9.1742",comune|comune_milano|osm,3,TARGET
Baraonda Cafè,Baraonda Cafè,"45.4888,9.1906",comune_milano|osm,3,TARGET
L'aurora,L'aurora,"45.4854,9.2136",comune_milano|osm,3,TARGET
El Buscia,El Buscia | El Büscia,"45.4517,9.1962",comune_milano|osm|thefork,3,TARGET
Chanelena,Chanelena,"45.4926,9.2329",comune_milano|osm,3,TARGET
OSTERIA PUGLIESE,Osteria Pugliese | OSTERIA PUGLIESE,"45.4762,9.2048",comune_milano|thefork,3,NO_TARGET
Carlino,Carlino,"45.4681,9.1571",comune_milano|osm,3,AMBIGUOUS
Nagott Cucina e Bottega,Na Gott | Nagott Cucina e Bottega,"45.4613,9.2035",comune_milano|thefork,3,NO_TARGET
Caffè Romagna,Caffè Romagna,"45.4746,9.2234",comune_milano|osm,3,TARGET
Tabaccheria Amico Bar Alex,Tabaccheria Amico Bar Alex,"45.4639,9.0926",comune_milano|osm,3,TARGET
Baratie,Baratie,"45.4552,9.1579",comune|comune_milano|osm,3,TARGET
Il Cairoli Bar & Restaurant,Il Cairoli Bar & Restaurant,"45.4685,9.1834",comune_milano|thefork,3,NO_TARGET
Fashion Café,Fashion Café,"45.4732,9.1877",comune_milano|osm,3,TARGET
Bar Bodio,Bar Bodio,"45.4974,9.1688",comune_milano|osm,3,TARGET
[lù-po],[lù-po],"45.4914,9.1886",comune|comune_milano|osm,3,TARGET
Al capriccio di Licia e Oreste,Al Capriccio | Al capriccio di Licia e Oreste,"45.4547,9.1543",comune_milano|thefork,3,NO_TARGET
Norah was drunk,Norah was drunk,"45.4862,9.2331",comune|comune_milano|osm,3,TARGET
Minuto Bauli,Minuto Bauli,"45.4629,9.1867",comune_milano|osm,3,TARGET
Le Coq,Le Coq,"45.4705,9.2270",comune|comune_milano|osm,3,TARGET
Bar Sesto,Bar Sesto,"45.4669,9.1457",comune_milano|osm,3,AMBIGUOUS
Bar Felice,Bar Felice,"45.5047,9.1759",comune|comune_milano|osm,3,TARGET
Mud Café,Mud Café,"45.4321,9.1775",comune_milano|osm,3,AMBIGUOUS
Hamilton Plaza,Hamilton Plaza,"45.5053,9.2468",comune_milano|osm,3,AMBIGUOUS
The Saints and the Scholars,The Saints and the Scholars,"45.4891,9.1675",comune|comune_milano|osm,3,TARGET
Al Baraka,Al Baraka,"45.4908,9.1531",comune_milano,3,NO_TARGET
Tipota Pub,Tipota Pub,"45.4453,9.1806",comune|comune_milano|osm,3,TARGET
bar sara,bar sara,"45.5055,9.1757",comune|comune_milano|osm,3,TARGET
Mistral cafè,Mistral cafè,"45.4489,9.2071",comune_milano|osm,3,TARGET
Green Line,Green Line,"45.4498,9.2053",comune_milano|osm,3,TARGET
Lo Sharman,Lo Sharman,"45.4636,9.1971",comune_milano|osm,3,TARGET
Bar Morgagni,Bar Morgagni,"45.4788,9.2134",comune_milano|osm,3,TARGET
Bar 2 Ruote,Bar 2 Ruote,"45.4392,9.1552",comune_milano|osm,3,TARGET
Elisir Cafè,Elisir Cafè,"45.4825,9.2343",comune_milano|osm,3,TARGET
Milano Bistrot,Milano Bistrot,"45.4738,9.2110",comune_milano|thefork,3,NO_TARGET
God Save the Food,God Save the Food,"45.4701,9.1853",comune_milano|osm,3,AMBIGUOUS
Ristorante Bande Nere,Ristorante Bande Nere,"45.4615,9.1358",comune_milano,3,NO_TARGET
Pavè Milano,Pavè Milano,"45.4568,9.1993",comune_milano|osm,3,AMBIGUOUS
Lorantbar,Lorantbar,"45.4200,9.1781",comune|comune_milano|osm,3,TARGET
Regional Caffè,Regional Caffè,"45.4875,9.1931",comune_milano|osm,3,AMBIGUOUS
La Belle Alliance,La Belle Alliance,"45.4462,9.1791",comune|comune_milano|osm,3,AMBIGUOUS
Queen's Bar Tabacchi,Queen's Bar Tabacchi,"45.4626,9.1736",comune_milano|osm,3,TARGET
Bar Barbara,Bar Barbara,"45.4821,9.1812",comune_milano|osm,3,AMBIGUOUS
Christian Bar,Christian Bar,"45.4922,9.2249",comune_milano|osm,3,TARGET
Bar Daniel's,Bar Daniel's,"45.4960,9.2026",comune_milano|osm,3,AMBIGUOUS
Cafè Quieto,Cafè Quieto,"45.4782,9.2153",comune_milano|osm,3,TARGET
Calici,Calici,"45.4520,9.1777",comune_milano,3,NO_TARGET
Food & bar,Food & bar,"45.4644,9.2069",comune|comune_milano|osm,3,TARGET
City Bar,City Bar,"45.4457,9.2469",comune_milano|osm,3,TARGET
"CLASSICO Trattoria & Cocktail, via marcona","Classico | CLASSICO Trattoria & Cocktail, via marcona","45.4634,9.2082",comune_milano|thefork,3,NO_TARGET
Time To Poke,Time To Poke,"45.4807,9.2159",comune_milano,3,NO_TARGET
Locanda da Vinci,Locanda da Vinci,"45.4457,9.1763",comune|comune_milano|osm,3,TARGET
Happy Bar,Happy Bar,"45.4560,9.2235",comune_milano|osm,3,TARGET
Music Viga Bar,Music Viga Bar,"45.4821,9.1898",comune|comune_milano|osm,3,AMBIGUOUS
Draft?,Draft?,"45.4898,9.2369",comune_milano|osm,3,AMBIGUOUS
Il Gattopardo,Il Gattopardo,"45.4853,9.1613",comune|comune_milano|osm,3,TARGET
Cafè Solari 72,Cafè Solari 72,"45.4531,9.1556",comune_milano|osm,3,TARGET
Il Ponte Rotto,Il Ponte Rotto,"45.4345,9.2043",comune_milano,3,NO_TARGET
Macondo cafè,Macondo cafè,"45.5021,9.1624",comune|comune_milano|osm,3,TARGET
Bar Baffo,Bar Baffo,"45.4663,9.1283",comune|comune_milano|osm,3,TARGET
Disigu@l Caffè,Disigu@l Caffè,"45.4527,9.2032",comune_milano|osm,3,TARGET
Swami Café,Swami Café,"45.4535,9.2036",comune|comune_milano|osm,3,TARGET
Patti bakery & bistrot,Patti bakery & bistrot,"45.4686,9.1763",comune_milano|osm,3,AMBIGUOUS
Bar Elena,Bar Elena,"45.4577,9.1709",comune|comune_milano|osm,3,TARGET
Tempi moderni,Tempi moderni,"45.5141,9.2083",comune|comune_milano|osm,3,AMBIGUOUS
New York Lounge,New York Lounge,"45.4864,9.2013",comune|comune_milano|osm,3,TARGET
Bar Gioia,Bar Gioia,"45.4900,9.2011",comune_milano|osm,3,AMBIGUOUS
Nicol,Nicol,"45.4584,9.1874",comune|comune_milano|osm,3,TARGET
Bar Cuore,Bar Cuore,"45.4590,9.1807",comune|comune_milano|osm,3,TARGET
Norin Caffè Bistrot,Norin Caffè Bistrot,"45.4851,9.1987",comune_milano|osm,3,AMBIGUOUS
Ghe post,Ghe post,"45.4577,9.1992",comune_milano|osm,3,TARGET
Bar White,Bar White,"45.4798,9.1888",comune_milano|osm,3,TARGET
Sporting Pub,Sporting Pub,"45.5113,9.2008",comune|comune_milano|osm,3,TARGET
Concept Caffè,Concept Caffè,"45.4533,9.2006",comune_milano|osm,3,TARGET
KoRo cafè,KoRo cafè,"45.4621,9.1990",comune_milano|osm,3,TARGET
Meat Crew - American Burger,Meat Crew - American Burger,"45.4512,9.1887",comune_milano,3,NO_TARGET
Il Porto,Il Porto,"45.4900,9.1903",comune_milano|thefork,3,NO_TARGET
Bar Arcobaleno,Bar Arcobaleno,"45.5102,9.1761",comune_milano|osm,3,AMBIGUOUS
Bar del Corso,Bar del Corso,"45.4603,9.1890",comune_milano|osm,3,TARGET
Bar Biancamano,Bar Biancamano,"45.4784,9.1806",comune_milano|osm,3,AMBIGUOUS
Patchouli,Patchouli,"45.4331,9.2386",comune_milano|osm,3,AMBIGUOUS
Vinthiages Cafè,Vinthiages Cafè,"45.4663,9.2131",comune_milano|osm,3,TARGET
Venti 136,Venti 136,"45.4515,9.1874",comune_milano|osm,3,AMBIGUOUS
Brera 29 Cucina & Cocktails,Brera 29 Cucina & Cocktails,"45.4728,9.1874",comune_milano|thefork,3,NO_TARGET
Bar Brera,Bar Brera,"45.4723,9.1874",comune_milano|osm,3,AMBIGUOUS
Pizzando Grigliando da Ciro,Pizzando Grigliando | Pizzando Grigliando da Ciro,"45.4675,9.1541",comune_milano|thefork,3,NO_TARGET
Millenium café,Millenium café,"45.4808,9.1605",comune_milano|osm,3,AMBIGUOUS
Mulligan's,Mulligan's,"45.4893,9.1679",comune|comune_milano|osm,3,AMBIGUOUS
Bausan Cafe,Bausan Cafe,"45.5024,9.1657",comune_milano|osm,3,TARGET
Stranobar,Stranobar,"45.4530,9.2124",comune|comune_milano|osm,3,TARGET
I Sapori Di Napoli,I Sapori Di Napoli,"45.5054,9.1975",comune_milano|osm,3,AMBIGUOUS
Caffè Napoli,Caffè Napoli,"45.4560,9.1712",comune_milano|osm,3,AMBIGUOUS
Bar Caraibi,Bar Caraibi,"45.5042,9.2404",comune_milano|osm,3,TARGET
Faravelli,Faravelli,"45.4575,9.2058",comune_milano,3,NO_TARGET
Lucky Bar Paninoteca,Lucky Bar Paninoteca,"45.4440,9.2154",comune_milano|osm,3,AMBIGUOUS
Milano Cafè,Milano Cafè,"45.4831,9.1700",comune|comune_milano|osm,3,TARGET
Meneghino Birreria,Meneghino Birreria,"45.4697,9.2265",comune|comune_milano|osm,3,TARGET
Bar Voltri,Bar Voltri,"45.4356,9.1543",comune_milano|osm,3,TARGET
Mr. Tea Bar,Mr. Tea Bar,"45.4568,9.1682",comune|comune_milano|osm,3,TARGET
Bar Debby,Bar Debby,"45.4571,9.1635",comune|comune_milano|osm,3,TARGET
Bar Giardino,Bar Giardino,"45.4302,9.2036",comune_milano|osm,3,AMBIGUOUS
Bar Italia,Bar Italia,"45.4474,9.2109",comune|comune_milano|osm,3,AMBIGUOUS
La Lanterna,La Lanterna,"45.5089,9.1968",comune_milano|osm,3,TARGET
Bar Britannia,Bar Britannia,"45.4859,9.2187",comune_milano|osm,3,TARGET
Bar Pontevecchio,Bar Pontevecchio,"45.5088,9.2466",comune_milano|osm,3,TARGET
Snoopy Bar 2,Snoopy Bar 2,"45.5034,9.2241",comune|comune_milano|osm,3,TARGET
Lambretta Café,Lambretta Café,"45.4878,9.2027",comune_milano|osm,3,AMBIGUOUS
Like Mike Milano,Like Mike | Like Mike Milano,"45.4705,9.2070",comune_milano|thefork,3,NO_TARGET
Bar Tucano,Bar Tucano,"45.4712,9.2135",comune_milano|osm,3,AMBIGUOUS
La tana del ghiottone,La tana del ghiottone,"45.4740,9.2120",comune_milano,3,NO_TARGET
Square Food,Square Food,"45.4656,9.1940",comune_milano|osm,3,AMBIGUOUS
Bar Arcobaleno,Bar Arcobaleno,"45.4843,9.2167",comune|comune_milano|osm,3,TARGET
Frankly Bubble Tea & Coffee,Frankly Bubble Tea & Coffee,"45.4843,9.2144",comune_milano|osm,3,TARGET
Café Verdi,Café Verdi,"45.4896,9.2140",comune_milano|osm,3,TARGET
Bar Tigullio,Bar Tigullio,"45.4541,9.1489",comune|comune_milano|osm,3,TARGET
Bar Arcobaleno,Bar Arcobaleno,"45.4902,9.2342",comune_milano|osm,3,TARGET
Capriccio,Il capriccio | Capriccio,"45.4822,9.2164",comune_milano|thefork,3,NO_TARGET
Astro Bar - Tabacchi,Astro Bar - Tabacchi,"45.4514,9.1414",comune_milano|osm,3,AMBIGUOUS
Bar Crisa,Bar Crisa,"45.4593,9.1466",comune|comune_milano|osm,3,TARGET
Bar Magenta,Bar Magenta,"45.4656,9.1755",comune|comune_milano|osm,3,TARGET
Family Cafè,Family Cafè,"45.4671,9.2020",comune_milano|osm,3,TARGET
Yuto Ramen Izakaya,Yuto Ramen Izakaya,"45.4829,9.1992",comune_milano|thefork,3,NO_TARGET
Rainbow cafè,Rainbow cafè,"45.4762,9.2052",comune_milano|osm,3,TARGET
Bar Lord Byron,Bar Lord Byron,"45.4388,9.1836",comune|comune_milano|osm,3,TARGET
Astoria,Astoria,"45.5026,9.2472",comune_milano|osm,3,TARGET
Caffè Mood,Caffè Mood,"45.4368,9.2418",comune_milano|osm,3,TARGET
Bar Derby,Bar Derby,"45.4665,9.1395",comune_milano|osm,3,TARGET
Rebelot,Rebelot,"45.4625,9.1370",comune|comune_milano|osm,3,TARGET
Carmelina Revel,Carmelina | Carmelina Revel,"45.4910,9.1888",comune_milano|thefork,3,NO_TARGET
Starbucks,Starbucks,"45.4625,9.1870",comune_milano|osm,3,TARGET
⁠Sapori Solari - La Salumeria,Sapori Solari | ⁠Sapori Solari - La Salumeria,"45.4623,9.1377",comune_milano|thefork,3,NO_TARGET
Green Koala,Green Koala,"45.4609,9.1909",comune_milano|osm,3,TARGET
Bar One,Bar One,"45.4593,9.1923",comune|comune_milano|osm,3,TARGET
D'ire Bistrot,D'ire Bistrot,"45.4658,9.1593",comune_milano|osm,3,TARGET
Hernry's Cafè,Hernry's Cafè,"45.4521,9.1820",comune|comune_milano|osm,3,TARGET
Bar Plaza,Bar Plaza,"45.4661,9.1277",comune|comune_milano|osm,3,TARGET
Sitar,Sitar,"45.4534,9.1517",comune_milano|thefork,3,NO_TARGET
Beeb Bar,Beeb Bar,"45.4521,9.1536",comune|comune_milano|osm,3,TARGET
Tazzulella,Tazzulella,"45.4716,9.2300",comune_milano|osm,3,TARGET
La Latteria,La Latteria,"45.4967,9.1214",comune_milano|osm,3,TARGET
Merlino e Magò,Merlino e Magò,"45.4487,9.1733",comune|comune_milano|osm,3,TARGET
Da Costa 13.9,Da Costa 13.9,"45.4579,9.1545",comune_milano|osm,3,TARGET
Bar Sesto,Bar Sesto,"45.4737,9.2181",comune|comune_milano|osm,3,TARGET
Matricola,Matricola,"45.4756,9.2234",comune|comune_milano|osm,3,TARGET
Buonarroti,Buonarroti,"45.4682,9.1550",comune_milano|osm,3,TARGET
Pizzikotto - Milano Celio,Pizzikotto | Pizzikotto - Milano Celio,"45.4684,9.1300",comune_milano|thefork,3,NO_TARGET
Bar Calipso,Bar Calipso,"45.4707,9.1515",comune_milano|osm,3,AMBIGUOUS
Metro Bar Amendola,Metro Bar Amendola,"45.4733,9.1516",comune|comune_milano|osm,3,TARGET
101 Caffè Fast Gourmet,101 Caffè Fast Gourmet,"45.4513,9.1720",comune_milano|osm,3,TARGET
Blanco,Blanco,"45.4768,9.2114",comune_milano|osm,3,AMBIGUOUS
Bar Mirabello,Bar Mirabello,"45.4752,9.1906",comune_milano|osm,3,TARGET
Lollocafé,Lollocafé,"45.4364,9.1781",comune_milano|osm,3,AMBIGUOUS
Bar da Giorgia,Bar da Giorgia,"45.5007,9.1988",comune|comune_milano|osm,3,TARGET
bar tabacchi,bar tabacchi,"45.4993,9.2364",comune_milano|osm,3,AMBIGUOUS
Brew Pub Yankee,Brew Pub Yankee,"45.4550,9.1552",comune|comune_milano|osm,3,TARGET
Wadi Rum Viale Tunisia,Wadi Rum Viale Tunisia,"45.4781,9.2046",comune_milano|thefork,3,NO_TARGET
Panini di Mare Bistrò & Cucina Milano Ticinese,Panini di Mare | Panini di Mare Bistrò & Cucina Milano Ticinese,"45.4573,9.1803",comune_milano|thefork,3,NO_TARGET
Victoria Cafè,Victoria Cafè,"45.5067,9.1630",comune_milano|osm,3,TARGET
Cafè Posilipo,Cafè Posilipo,"45.4860,9.2305",comune|comune_milano|osm,3,AMBIGUOUS
La Plancia,La Plancia,"45.4372,9.2310",comune_milano|thefork,3,NO_TARGET
El Peruchito,El Peruchito,"45.4927,9.2214",comune_milano|osm,3,TARGET
Panini Durini,Panini Durini,"45.4654,9.1983",comune_milano|osm,3,TARGET
Ricomincio Da Tre,Ricomincio Da Tre,"45.5149,9.2059",comune_milano|osm,3,AMBIGUOUS
Bar Firenze,Bar Firenze,"45.4737,9.2167",comune|comune_milano|osm,3,AMBIGUOUS
Terrazza Palestro,Terrazza Palestro,"45.4728,9.1965",comune_milano|thefork,3,NO_TARGET
Damm-atra' Milano,Damm-atra' Milano,"45.4492,9.1642",comune_milano,3,NO_TARGET
Al 37,Al 37,"45.4872,9.1621",comune_milano|osm,3,TARGET
La schiscetta,La schiscetta,"45.4914,9.2377",comune_milano,3,NO_TARGET
East End,East End,"45.4884,9.2541",comune|comune_milano|osm,3,TARGET
Vanilla Gelati Italiani,Vanilla Gelati Italiani,"45.4645,9.1934",comune_milano|osm,3,TARGET
Bar Espresso,Bar Espresso,"45.4830,9.2053",comune_milano|osm,3,AMBIGUOUS
Bjork,Bjork,"45.4771,9.2020",comune_milano,3,NO_TARGET
Birrificio Lambrate,Birrificio Lambrate,"45.4797,9.2345",comune|comune_milano|osm,3,TARGET
Bar Washington,Bar Washington,"45.4587,9.1511",comune_milano|osm,3,AMBIGUOUS
Bar Tabacchi Il Moro,Bar Tabacchi Il Moro,"45.4443,9.1406",comune|comune_milano|osm,3,TARGET
Touch Tea,Touch Tea,"45.4662,9.1873",comune_milano|osm,3,AMBIGUOUS
New Boston,New Boston,"45.4621,9.2001",comune_milano|osm,3,TARGET
La Birrofila,La Birrofila,"45.4382,9.1846",comune|comune_milano|osm,3,TARGET
Ligera,Ligera,"45.4982,9.2325",comune|comune_milano|osm,3,TARGET
Dammi un nome Bar,Dammi un nome Bar,"45.4504,9.1939",comune|comune_milano|osm,3,TARGET
Al Coltello,Al Coltello,"45.4504,9.1370",comune_milano,3,NO_TARGET
Cartoline Caffè,Cartoline Caffè,"45.4640,9.1785",comune_milano,3,NO_TARGET
Portuga,Portuga,"45.4607,9.1765",comune_milano|osm,3,AMBIGUOUS
Baobar,Baobar,"45.4761,9.2149",comune_milano|osm,3,TARGET
Salsamenteria delle Coppelle Milano,Osteria Delle Coppelle | Salsamenteria delle Coppelle Milano | Osteria delle Coppelle Milano,"45.4775,9.1881",comune_milano|thefork,3,NO_TARGET
Headbangers,Headbangers,"45.4506,9.2199",comune|comune_milano|osm,3,TARGET
Osteria Al 29,Osteria Al 29,"45.4659,9.1768",comune_milano,3,NO_TARGET
La buttiga beer room,La buttiga beer room,"45.4976,9.2085",comune|comune_milano|osm,3,TARGET
Anna,Anna,"45.4675,9.2233",comune|comune_milano|osm,3,TARGET
San Pietro Cafe,San Pietro Cafe,"45.4757,9.2064",comune_milano|osm,3,TARGET
Taveggia,Taveggia,"45.4633,9.1991",comune_milano|osm,3,AMBIGUOUS
Bistrot Piccolo Mare,Piccolo mare | Bistrot Piccolo Mare,"45.4918,9.1952",comune_milano|thefork,3,NO_TARGET
C&C Bar,C&C Bar,"45.4911,9.2075",comune|comune_milano|osm,3,TARGET
Soleluna Cafè,Soleluna Cafè,"45.4916,9.1865",comune_milano|osm,3,TARGET
Slowsud Isola,Slow Sud Isola | Slowsud Isola,"45.4881,9.1899",comune_milano|thefork,3,NO_TARGET
Osteria Al Piccolo Molo,Osteria al Piccolo Molo | Osteria Al Piccolo Molo,"45.4811,9.2345",comune_milano|thefork,3,NO_TARGET
Il Gusto del Caffè,Il Gusto del Caffè,"45.4648,9.1817",comune_milano|osm,3,AMBIGUOUS
mi Ami,mi Ami,"45.4777,9.2057",comune_milano,3,NO_TARGET
o.ma.ka.sé,o.ma.ka.sé,"45.4552,9.1728",comune_milano,3,NO_TARGET
Barlafus Cafè,Barlafus Cafè,"45.4679,9.1832",comune_milano|osm,3,TARGET
Matchatelier,Matchatelier,"45.4813,9.1730",comune_milano|osm,3,TARGET
Fuorifusto,FuoriFusto Birrosteria | Fuorifusto,"45.4407,9.1781",comune_milano|thefork,3,NO_TARGET
Mediterraneo,Mediterraneo,"45.4304,9.1787",comune_milano|osm,3,AMBIGUOUS
Sally bar,Sally bar,"45.4560,9.1868",comune|comune_milano|osm,3,TARGET
Bar Tender,Bar Tender,"45.4928,9.2162",comune_milano|osm,3,AMBIGUOUS
Romy Cafe,Romy Cafe,"45.4753,9.1384",comune_milano|osm,3,TARGET
Biancolatte,Biancolatte,"45.4766,9.1954",comune_milano|thefork,3,NO_TARGET
Bar Mascagni,Bar Mascagni,"45.4425,9.2197",comune|comune_milano|osm,3,TARGET
Bierfabrik,Bierfabrik,"45.4803,9.2126",comune|comune_milano|osm,3,TARGET
Bomaki,Bomaki,"45.4782,9.1842",comune_milano,3,NO_TARGET
Tutto St'orto,Tutto St'orto,"45.5145,9.2121",comune_milano|osm,3,TARGET
Autentiko,Autentiko,"45.4612,9.2074",comune_milano,3,NO_TARGET
Zaini Milano,Zaini Milano,"45.4711,9.2065",comune_milano|osm,3,TARGET
Caffè Vergani,Caffè Vergani,"45.4841,9.2138",comune_milano|osm,3,AMBIGUOUS
Bar Belfanti,Bar Belfanti,"45.4440,9.1732",comune|comune_milano|osm,3,TARGET
Web Bar,Web Bar,"45.4910,9.2186",comune_milano|osm,3,TARGET
feelgood,feelgood,"45.4621,9.2196",comune|comune_milano|osm,3,TARGET
Bar Cialdini,Bar Cialdini,"45.5153,9.1693",comune|comune_milano|osm,3,TARGET
Richmond,Richmond,"45.4893,9.2005",comune|comune_milano|osm,3,TARGET
Art Cafe,Art Cafe,"45.4765,9.1818",comune_milano|osm,3,TARGET
N'ata Espressioni di pizza,N'ata Espressioni di pizza,"45.4786,9.1884",comune_milano,3,NO_TARGET
Bar al Chiossetto,Bar al Chiossetto,"45.4631,9.2011",comune_milano|osm,3,AMBIGUOUS
La Rosa dei Venti- Milano,La Rosa dei Venti | La Rosa dei Venti- Milano,"45.4837,9.1643",comune_milano|thefork,3,NO_TARGET
Pizza And Food,Pizza And Food,"45.4951,9.2375",comune|comune_milano|osm,3,TARGET
El Gainatt de Milan,El Gainatt de Milan,"45.4758,9.2243",comune_milano|osm,3,AMBIGUOUS
Ristorante 168,Ristorante 168,"45.4971,9.1809",comune_milano,3,NO_TARGET
Mind the GAP,Mind the GAP,"45.4566,9.2023",comune|comune_milano|osm,3,AMBIGUOUS
Bootleg Pub,Bootleg Pub,"45.4639,9.1604",comune|comune_milano|osm,3,TARGET
Bar Lucy's Tabaccheria,Bar Lucy's Tabaccheria,"45.4626,9.2079",comune_milano|osm,3,TARGET
Milano Cafè,Milano Cafè,"45.4889,9.2247",comune_milano|osm,3,TARGET
JustCafé,JustCafé,"45.4820,9.2279",comune|comune_milano|osm,3,TARGET
Mini Sushi,Mini Sushi,"45.4506,9.2101",comune_milano|thefork,3,NO_TARGET
Caffè Napoli Exytus,Caffè Napoli Exytus,"45.4606,9.2075",comune_milano|osm,3,TARGET
Prog,Prog,"45.4578,9.2079",comune|comune_milano|osm,3,TARGET
Maga Cacao,Maga Cacao,"45.4618,9.1872",comune_milano|osm,3,AMBIGUOUS
Barbruto,Barbruto,"45.4508,9.1933",comune|comune_milano|osm,3,TARGET
Monkey Cocktail Bar,Monkey Cocktail Bar,"45.4808,9.2035",comune_milano|osm,3,TARGET
Bar Freetime,Bar Freetime,"45.4662,9.1888",comune_milano|osm,3,TARGET
Caffè Galli,Caffè Galli,"45.4917,9.1837",comune_milano|osm,3,AMBIGUOUS
Ca'puccino,Ca'puccino,"45.4745,9.2067",comune_milano|osm,3,TARGET
Nice Cafè,Nice Cafè,"45.4824,9.2036",comune_milano|osm,3,TARGET
Maravea,Maravea,"45.4512,9.1896",comune|comune_milano|osm,3,TARGET
Saverio's Cafè,Saverio's Cafè,"45.4877,9.2174",comune_milano|osm,3,TARGET
Tin Whistle,Tin Whistle,"45.4452,9.1448",comune|comune_milano|osm,3,TARGET
Taverna Gran Sasso,Taverna Gran Sasso,"45.4558,9.1806",comune_milano,3,NO_TARGET
Enoteca di Mare Bistrot - Mare in Pasta,Enoteca Di Mare | Enoteca di Mare Bistrot - Mare in Pasta,"45.4948,9.1871",comune_milano|thefork,3,NO_TARGET
Rotani Caffe,Rotani Caffe,"45.4758,9.2051",comune_milano|osm,3,TARGET
Woodstock,Woodstock,"45.4474,9.1555",comune|comune_milano|osm,3,AMBIGUOUS
Golden House,Golden House,"45.4534,9.1803",comune_milano|thefork,3,NO_TARGET
Illy,Illy,"45.4832,9.1899",comune_milano|osm,3,AMBIGUOUS
Artisti Del Vegatariano,Artisti Del Vegatariano,"45.4753,9.2064",comune_milano,3,NO_TARGET
Cambridge,Cambridge,"45.4677,9.2229",comune|comune_milano|osm,3,TARGET
Estilolivre Bistrot Italo Brasiliano,Estilolivre Bistrot Italo Brasiliano,"45.4937,9.1881",comune_milano,3,NO_TARGET
Bomaki Garibaldi - Milano,Bomaki | Bomaki Garibaldi - Milano,"45.4760,9.1836",comune_milano|thefork,3,NO_TARGET
Micrò,Micrò,"45.4310,9.1730",comune|comune_milano|osm,3,TARGET
Madera Milano,Madera Milano,"45.4813,9.1690",comune_milano|osm,3,TARGET
Vino al vino,Vino al vino,"45.4816,9.2145",comune|comune_milano|osm,3,TARGET
150UP,150UP,"45.4902,9.1847",comune|comune_milano|osm,3,TARGET
News cafè,News cafè,"45.4620,9.1940",comune_milano|osm,3,AMBIGUOUS
Simpaty Bar,Simpaty Bar,"45.4679,9.1455",comune|comune_milano|osm,3,TARGET
Niki Bar,Niki Bar,"45.4724,9.2304",comune|comune_milano|osm,3,TARGET
Bar Luce,Bar Luce,"45.4441,9.2053",comune_milano|osm,3,AMBIGUOUS
Pane e Cioccolato,Pane e Cioccolato,"45.4841,9.2362",comune_milano|osm,3,AMBIGUOUS
Double Face Caffè,Double Face Caffè,"45.4488,9.1617",comune_milano|osm,3,TARGET
Fuori Corso Spritz Bar,Fuori Corso Spritz Bar,"45.4606,9.1939",comune_milano|osm,3,TARGET
Coffee Brown,Coffee Brown,"45.4972,9.1317",comune_milano|osm,3,AMBIGUOUS
Thai Gallery,Thai Gallery,"45.4821,9.1927",comune_milano,3,NO_TARGET
Pitador,Pitador,"45.4530,9.1799",comune_milano,3,NO_TARGET
Bar Dei Bossi,Bar Dei Bossi,"45.4677,9.1870",comune_milano|osm,3,AMBIGUOUS
Mambo cafè,Mambo cafè,"45.4969,9.2365",comune_milano|osm,3,TARGET
Natura In Bistrò,Natura In Bistrò,"45.4626,9.1618",comune|comune_milano|osm,3,TARGET
Rita's Tikiroom,Rita's Tikiroom,"45.4504,9.1696",comune|comune_milano|osm,3,TARGET
All Beer,All Beer,"45.4737,9.1261",comune|comune_milano|osm,3,TARGET
Eugenio Boer Ristorante Bu:r,Bu:r | Eugenio Boer Ristorante Bu:r,"45.4553,9.1897",comune_milano|thefork,3,NO_TARGET
Croque Monsieur,Croque Monsieur,"45.4908,9.1839",comune|comune_milano|osm,3,TARGET
