source_platform,venue_name,venue_url,address,city,latitude,longitude,phone,brand,price_hints,retrieved_at
anytimefitness,"Anytime Fitness - Palestra a Roma (Magnifico), RM 00162",https://www.anytimefitness.it/palestra/it-0035/roma-rm-00162/,,,41.8719,12.5674,,Anytime Fitness,,2026-06-02T11:11:16.461868Z
anytimefitness,"Anytime Fitness - Palestra a Legnano, MI 20025",https://www.anytimefitness.it/palestra/it-0036/legnano-mi-20025/,,,41.8719,12.5674,,Anytime Fitness,,2026-06-02T11:11:18.188461Z
anytimefitness,"Anytime Fitness - Palestra a Francavilla al Mare, CH 66023",https://www.anytimefitness.it/palestra/it-0037/francavilla-al-mare-ch-66023/,,,41.8719,12.5674,,Anytime Fitness,,2026-06-02T11:11:19.913901Z
anytimefitness,"Anytime Fitness - Palestra a Rho, MI 20017",https://www.anytimefitness.it/palestra/it-0038/rho-mi-20017/,,,41.8719,12.5674,,Anytime Fitness,,2026-06-02T11:11:21.617447Z
anytimefitness,"Anytime Fitness - Palestra a Torino (Grosseto), TO 10148",https://www.anytimefitness.it/palestra/it-0039/torino-to-10148/,,,41.8719,12.5674,,Anytime Fitness,,2026-06-02T11:11:23.379620Z
anytimefitness,"Anytime Fitness - Palestra a Monza, MB 20900",https://www.anytimefitness.it/palestra/it-0040/monza-mb-20900/,,,41.8719,12.5674,,Anytime Fitness,,2026-06-02T11:11:25.148237Z
anytimefitness,"Anytime Fitness - Palestra a Rovereto, TN 38068",https://www.anytimefitness.it/palestra/it-0042/rovereto-tn-38068/,,,41.8719,12.5674,,Anytime Fitness,,2026-06-02T11:11:26.894085Z
anytimefitness,"Anytime Fitness - Palestra a Torino (Bogino), TO 10123",https://www.anytimefitness.it/palestra/it-0044/torino-to-10123/,,,41.8719,12.5674,,Anytime Fitness,,2026-06-02T11:11:28.631640Z
anytimefitness,"Anytime Fitness - Palestra a Perugia, PG 06129",https://www.anytimefitness.it/palestra/it-0045/perugia-pg-06129/,,,41.8719,12.5674,,Anytime Fitness,,2026-06-02T11:11:30.362430Z
anytimefitness,"Anytime Fitness - Palestra a Trento, TN 38122",https://www.anytimefitness.it/palestra/it-0046/trento-tn-38122/,,,41.8719,12.5674,,Anytime Fitness,,2026-06-02T11:11:32.066516Z
anytimefitness,"Anytime Fitness - Palestra a Firenze (Cavour), FI 50121",https://www.anytimefitness.it/palestra/it-0048/firenze-fi-50121/,,,41.8719,12.5674,,Anytime Fitness,,2026-06-02T11:11:33.805893Z
anytimefitness,"Anytime Fitness - Palestra a Torino (Lancia), TO 10141",https://www.anytimefitness.it/palestra/it-0050/torino-to-10141/,,,41.8719,12.5674,,Anytime Fitness,,2026-06-02T11:11:35.537070Z
anytimefitness,"Anytime Fitness - Palestra a Segrate (Milano 2), MI 20090",https://www.anytimefitness.it/palestra/it-0051/segrate-mi-20090/,,,41.8719,12.5674,,Anytime Fitness,,2026-06-02T11:11:37.266969Z
anytimefitness,"Anytime Fitness - Palestra a Saronno, VA 21047",https://www.anytimefitness.it/palestra/it-0053/saronno-va-21047/,,,41.8719,12.5674,,Anytime Fitness,,2026-06-02T11:11:39.034179Z
anytimefitness,"Anytime Fitness - Palestra a Palermo, PA 90133",https://www.anytimefitness.it/palestra/it-0054/palermo-pa-90133/,,,41.8719,12.5674,,Anytime Fitness,,2026-06-02T11:11:40.815934Z
anytimefitness,"Anytime Fitness - Palestra a Roma (Pamphili), RM 00152",https://www.anytimefitness.it/palestra/it-0055/roma-rm-00152/,,,41.8719,12.5674,,Anytime Fitness,,2026-06-02T11:11:42.532251Z
anytimefitness,"Anytime Fitness - Palestra a Reggio Emilia, RE 42121",https://www.anytimefitness.it/palestra/it-0056/reggio-emilia-re-42121/,,,41.8719,12.5674,,Anytime Fitness,,2026-06-02T11:11:44.272304Z
anytimefitness,"Anytime Fitness - Palestra a Mercogliano, AV 83013",https://www.anytimefitness.it/palestra/it-0057/mercogliano-av-83013/,,,41.8719,12.5674,,Anytime Fitness,,2026-06-02T11:11:46.014754Z
anytimefitness,"Anytime Fitness - Palestra a Milano (Bisceglie), MI 20152",https://www.anytimefitness.it/palestra/it-0058/milano-mi-20152/,,,41.8719,12.5674,,Anytime Fitness,,2026-06-02T11:11:47.755112Z
anytimefitness,"Anytime Fitness - Palestra a Montesilvano, PE 64015",https://www.anytimefitness.it/palestra/it-0059/montesilvano-pe-64015/,,,41.8719,12.5674,,Anytime Fitness,,2026-06-02T11:11:50.262415Z
