_origin_file,allergens,available_spots,booking_available,booking_provider,check_in_date,check_out_date,confidence,currency,item_description,item_name,item_type,menu_section,normalized_price_eur,normalized_product,peak_or_mid,price_type,raw_price,retrieved_at,season,source_platform,source_url,source_venue_id,staging_items,validity_end,validity_start,venue_name,venue_url,vertical
beach_s1_menu_items.csv,,,,,,,high,EUR,1 ombrellone alta stagione prima fila,Ombrellone prima fila – giornaliero agosto,beach_service,PRIMA FILA,45.0,beach_umbrella_first_row,,per_day,"€45,00",2026-06-01T14:30:00Z,summer_2026,direct_website,https://apulianbeachclub.it/listino-prezzi/,apulian_beach_club,,2026-09-30,2026-05-01,Apulian Beach Club,https://apulianbeachclub.it/listino-prezzi/,beach
beach_s1_menu_items.csv,,,,,,,high,EUR,Lettino singolo prima fila giugno,Lettino prima fila – giornaliero bassa stagione,beach_service,PRIMA FILA,7.0,beach_sunbed,,per_day,"€7,00",2026-06-01T14:30:00Z,summer_2026,direct_website,https://apulianbeachclub.it/listino-prezzi/,apulian_beach_club,,2026-09-30,2026-05-01,Apulian Beach Club,https://apulianbeachclub.it/listino-prezzi/,beach
beach_s1_menu_items.csv,,,,,,,high,EUR,Lettino singolo prima fila agosto,Lettino prima fila – giornaliero alta stagione,beach_service,PRIMA FILA,9.0,beach_sunbed,,per_day,"€9,00",2026-06-01T14:30:00Z,summer_2026,direct_website,https://apulianbeachclub.it/listino-prezzi/,apulian_beach_club,,2026-09-30,2026-05-01,Apulian Beach Club,https://apulianbeachclub.it/listino-prezzi/,beach
beach_s1_menu_items.csv,,,,,,,high,EUR,Set 2a+ fila bassa stagione,Ombrellone+2lettini standard – giornaliero bassa stagione,beach_service,STANDARD,25.0,beach_set_2lettini_ombrellone,,per_day,"€25,00",2026-06-01T14:30:00Z,summer_2026,direct_website,https://apulianbeachclub.it/listino-prezzi/,apulian_beach_club,,2026-09-30,2026-05-01,Apulian Beach Club,https://apulianbeachclub.it/listino-prezzi/,beach
beach_s1_menu_items.csv,,,,,,,high,EUR,Set 2a+ fila alta stagione,Ombrellone+2lettini standard – giornaliero alta stagione,beach_service,STANDARD,35.0,beach_set_2lettini_ombrellone,,per_day,"€35,00",2026-06-01T14:30:00Z,summer_2026,direct_website,https://apulianbeachclub.it/listino-prezzi/,apulian_beach_club,,2026-09-30,2026-05-01,Apulian Beach Club,https://apulianbeachclub.it/listino-prezzi/,beach
beach_s1_menu_items.csv,,,,,,,high,EUR,Gazebo 3x3m + 4 lettini bassa stagione,Gazebo VIP – giornaliero bassa stagione,beach_service,VIP,50.0,beach_umbrella_premium,,per_day,"€50,00",2026-06-01T14:30:00Z,summer_2026,direct_website,https://apulianbeachclub.it/listino-prezzi/,apulian_beach_club,,2026-09-30,2026-05-01,Apulian Beach Club,https://apulianbeachclub.it/listino-prezzi/,beach
beach_s1_menu_items.csv,,,,,,,high,EUR,Gazebo alta stagione,Gazebo VIP – giornaliero alta stagione,beach_service,VIP,80.0,beach_umbrella_premium,,per_day,"€80,00",2026-06-01T14:30:00Z,summer_2026,direct_website,https://apulianbeachclub.it/listino-prezzi/,apulian_beach_club,,2026-09-30,2026-05-01,Apulian Beach Club,https://apulianbeachclub.it/listino-prezzi/,beach
beach_s1_menu_items.csv,,,,,,,high,EUR,2 lettini + ombrellone prima fila,Abbonamento mensile prima fila giugno,beach_service,ABBONAMENTI,1050.0,beach_subscription_month,,per_month,"€1.050,00",2026-06-01T14:30:00Z,summer_2026,direct_website,https://apulianbeachclub.it/listino-prezzi/,apulian_beach_club,,2026-09-30,2026-05-01,Apulian Beach Club,https://apulianbeachclub.it/listino-prezzi/,beach
beach_s1_menu_items.csv,,,,,,,high,EUR,2 lettini + ombrellone prima fila,Abbonamento mensile prima fila luglio,beach_service,ABBONAMENTI,1140.0,beach_subscription_month,,per_month,"€1.140,00",2026-06-01T14:30:00Z,summer_2026,direct_website,https://apulianbeachclub.it/listino-prezzi/,apulian_beach_club,,2026-09-30,2026-05-01,Apulian Beach Club,https://apulianbeachclub.it/listino-prezzi/,beach
beach_s1_menu_items.csv,,,,,,,high,EUR,2 lettini + ombrellone prima fila,Abbonamento mensile prima fila agosto,beach_service,ABBONAMENTI,1255.0,beach_subscription_month,,per_month,"€1.255,00",2026-06-01T14:30:00Z,summer_2026,direct_website,https://apulianbeachclub.it/listino-prezzi/,apulian_beach_club,,2026-09-30,2026-05-01,Apulian Beach Club,https://apulianbeachclub.it/listino-prezzi/,beach
beach_s1_menu_items.csv,,,,,,,high,EUR,Abbonamento stagionale zona premium,Stagionale zona rossa,beach_service,ABBONAMENTI,2300.0,beach_subscription_season,,per_season,"€2.300,00",2026-06-01T14:30:00Z,summer_2026,direct_website,https://apulianbeachclub.it/listino-prezzi/,apulian_beach_club,,2026-09-30,2026-05-01,Apulian Beach Club,https://apulianbeachclub.it/listino-prezzi/,beach
beach_s1_menu_items.csv,,,,,,,high,EUR,Zona cemento vicino al mare,Ombrellone+2sdraio zona mare – giornaliero,beach_service,SPIAGGIA,25.0,beach_set_2lettini_ombrellone,,per_day,"€25,00",2026-06-01T14:30:00Z,summer_2026,direct_website,https://www.bagnifiume.com/web/tariffe/,bagni_fiume_livorno,,2026-09-30,2026-05-01,Bagni Fiume,https://www.bagnifiume.com/web/tariffe/,beach
beach_s1_menu_items.csv,,,,,,,high,EUR,Grande spiaggia sabbiosa,Ombrellone+2sdraio zona grande – giornaliero,beach_service,SPIAGGIA,20.0,beach_set_2lettini_ombrellone,,per_day,"€20,00",2026-06-01T14:30:00Z,summer_2026,direct_website,https://www.bagnifiume.com/web/tariffe/,bagni_fiume_livorno,,2026-09-30,2026-05-01,Bagni Fiume,https://www.bagnifiume.com/web/tariffe/,beach
beach_s1_menu_items.csv,,,,,,,high,EUR,"Zona cemento, 7 giorni",Ombrellone+2sdraio settimanale,beach_service,SPIAGGIA,150.0,beach_set_2lettini_ombrellone,,per_week,"€150,00",2026-06-01T14:30:00Z,summer_2026,direct_website,https://www.bagnifiume.com/web/tariffe/,bagni_fiume_livorno,,2026-09-30,2026-05-01,Bagni Fiume,https://www.bagnifiume.com/web/tariffe/,beach
beach_s1_menu_items.csv,,,,,,,high,EUR,Ombrellone+2sdraio stagione completa zona mare,Stagionale zona mare,beach_service,ABBONAMENTI,930.0,beach_subscription_season,,per_season,"€930,00",2026-06-01T14:30:00Z,summer_2026,direct_website,https://www.bagnifiume.com/web/tariffe/,bagni_fiume_livorno,,2026-09-30,2026-05-01,Bagni Fiume,https://www.bagnifiume.com/web/tariffe/,beach
beach_s1_menu_items.csv,,,,,,,high,EUR,Cabina grande privata,Cabina 6 persone – giornaliero,beach_service,CABINE,60.0,beach_cabin_day,,one_off,"€60,00",2026-06-01T14:30:00Z,summer_2026,direct_website,https://www.bagnifiume.com/web/tariffe/,bagni_fiume_livorno,,2026-09-30,2026-05-01,Bagni Fiume,https://www.bagnifiume.com/web/tariffe/,beach
beach_s1_menu_items.csv,,,,,,,high,EUR,Cabina grande stagionale,Cabina 6 persone – stagionale,beach_service,CABINE,2160.0,beach_cabin_season,,per_season,"€2.160,00",2026-06-01T14:30:00Z,summer_2026,direct_website,https://www.bagnifiume.com/web/tariffe/,bagni_fiume_livorno,,2026-09-30,2026-05-01,Bagni Fiume,https://www.bagnifiume.com/web/tariffe/,beach
beach_s1_menu_items.csv,,,,,,,high,EUR,Ingresso adulto,Ingresso standard – giornaliero,beach_service,INGRESSO,7.0,beach_entry_fee,,per_day,"€7,00",2026-06-01T14:30:00Z,summer_2026,direct_website,https://www.bagnifiume.com/web/tariffe/,bagni_fiume_livorno,,2026-09-30,2026-05-01,Bagni Fiume,https://www.bagnifiume.com/web/tariffe/,beach
beach_s1_menu_items.csv,,,,,,,high,EUR,Sedia singola,Sedia giornaliero,beach_service,ARREDI,3.0,beach_chair,,per_day,"€3,00",2026-06-01T14:30:00Z,summer_2026,direct_website,https://www.bagnifiume.com/web/tariffe/,bagni_fiume_livorno,,2026-09-30,2026-05-01,Bagni Fiume,https://www.bagnifiume.com/web/tariffe/,beach
beach_s1_menu_items.csv,,,,,,,high,EUR,Prima fila,Ombrellone+2lettini prima fila – giornaliero,beach_service,PRIMA FILA,24.0,beach_set_2lettini_ombrellone,,per_day,"€24,00",2026-06-01T14:30:00Z,summer_2026,direct_website,https://www.marefelice.it/listino/,marefelice_eraclea,,2026-09-30,2026-05-01,Marefelice,https://www.marefelice.it/listino/,beach
beach_s1_menu_items.csv,,,,,,,high,EUR,Standard rows 2-3,Ombrellone+2lettini seconda-terza fila – giornaliero,beach_service,STANDARD,22.0,beach_set_2lettini_ombrellone,,per_day,"€22,00",2026-06-01T14:30:00Z,summer_2026,direct_website,https://www.marefelice.it/listino/,marefelice_eraclea,,2026-09-30,2026-05-01,Marefelice,https://www.marefelice.it/listino/,beach
beach_s1_menu_items.csv,,,,,,,high,EUR,Quarta fila e oltre,Ombrellone+2lettini quarta fila+ – giornaliero,beach_service,STANDARD,21.0,beach_set_2lettini_ombrellone,,per_day,"€21,00",2026-06-01T14:30:00Z,summer_2026,direct_website,https://www.marefelice.it/listino/,marefelice_eraclea,,2026-09-30,2026-05-01,Marefelice,https://www.marefelice.it/listino/,beach
beach_s1_menu_items.csv,,,,,,,high,EUR,Dalle 14:00,Mezza giornata (dal pomeriggio),beach_service,STANDARD,15.0,beach_set_2lettini_ombrellone,,per_half_day,"€15,00",2026-06-01T14:30:00Z,summer_2026,direct_website,https://www.marefelice.it/listino/,marefelice_eraclea,,2026-09-30,2026-05-01,Marefelice,https://www.marefelice.it/listino/,beach
beach_s1_menu_items.csv,,,,,,,high,EUR,Gazebo premium,Gazebo+2maxi lettini – giornaliero,beach_service,VIP,35.0,beach_umbrella_premium,,per_day,"€35,00",2026-06-01T14:30:00Z,summer_2026,direct_website,https://www.marefelice.it/listino/,marefelice_eraclea,,2026-09-30,2026-05-01,Marefelice,https://www.marefelice.it/listino/,beach
beach_s1_menu_items.csv,,,,,,,high,EUR,Stagione completa prima fila,Stagionale prima fila,beach_service,ABBONAMENTI,1300.0,beach_subscription_season,,per_season,"€1.300,00",2026-06-01T14:30:00Z,summer_2026,direct_website,https://www.marefelice.it/listino/,marefelice_eraclea,,2026-09-30,2026-05-01,Marefelice,https://www.marefelice.it/listino/,beach
beach_s1_menu_items.csv,,,,,,,high,EUR,7 giorni consecutivi,Abbonamento settimanale,beach_service,ABBONAMENTI,140.0,beach_subscription_week,,per_week,"€140,00",2026-06-01T14:30:00Z,summer_2026,direct_website,https://www.marefelice.it/listino/,marefelice_eraclea,,2026-09-30,2026-05-01,Marefelice,https://www.marefelice.it/listino/,beach
beach_s1_menu_items.csv,,,,,,,high,EUR,30 giorni,Abbonamento mensile,beach_service,ABBONAMENTI,500.0,beach_subscription_month,,per_month,"€500,00",2026-06-01T14:30:00Z,summer_2026,direct_website,https://www.marefelice.it/listino/,marefelice_eraclea,,2026-09-30,2026-05-01,Marefelice,https://www.marefelice.it/listino/,beach
