source_platform,source_venue_id,venue_name,venue_url,address,city,latitude,longitude,phone,brand,venue_type,price_hints,vertical,has_menu,extraction_status,retrieved_at
osm_overpass,osm_44.83455_11.60604,Canoa Club Ferrara,,,altro,44.8345489,11.6060413,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.82116_11.63091,PalaBoschetto,,,altro,44.8211637,11.6309117,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.76765_11.57766,Palestra Bodyland,,,altro,44.767652,11.5776554,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.82207_11.59319,Piscina comunale di Via Beethoven,,,altro,44.8220709,11.593188,,,pool,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.82173_11.59409,PalaSilver,,,altro,44.8217294,11.5940851,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.86129_11.60468,"Palestra Comunale ""Barco"" Gino Piffanelli",,,altro,44.8612871,11.604679,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.84792_11.60258,Palestra Doro,,,altro,44.8479183,11.6025824,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.64331_10.91061,Equilibra,,"Via Domenico Rococciolo, 41124, Modena",Modena,44.6433086,10.9106105,,,pilates_studio,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.65496_10.89507,METAGYM,,,altro,44.6549632,10.8950676,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.63651_10.91195,Polisportiva San Faustino,https://www.polisanfaustino.it/,"Via Wiligelmo, 41124, Modena",Modena,44.6365125,10.9119494,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.65117_10.91995,PalaMolza,,,altro,44.6511697,10.9199452,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.62221_10.93735,Polisportiva Gino Nasi,https://polginonasi.com,,altro,44.6222113,10.9373546,+39 059 362389,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.63337_10.94584,Palestra CUS,,"Via Giuseppe Campi, 41125, Modena",Modena,44.6333653,10.9458392,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_45.77855_13.63873,Centro sportivo di Visogliano / Športni center v Vižovljah,,,altro,45.7785496,13.6387306,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_41.08628_16.79505,"Palazzetto dello Sport ""Salvatore Pantaleo""",,,altro,41.0862839,16.795054,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.77264_10.76936,Centro Sportivo Ronin,,,altro,44.7726355,10.7693635,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.77611_10.77807,Luigi Einaudi,,,altro,44.7761142,10.7780654,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
