spiagge_venue_id,spiagge_url,slug,sitemap_source,discovered_at
10042,https://www.spiagge.it/stabilimenti-balneari/10042-lido-signorino/,lido-signorino,stabilimenti_01,2026-06-01T15:18:21Z
10046,https://www.spiagge.it/stabilimenti-balneari/10046-bagni-il-gabbiano/,bagni-il-gabbiano,stabilimenti_03,2026-06-01T15:18:21Z
10047,https://www.spiagge.it/stabilimenti-balneari/10047-pozzo-da-poppa/,pozzo-da-poppa,stabilimenti_01,2026-06-01T15:18:21Z
10049,https://www.spiagge.it/stabilimenti-balneari/10049-lido-azzurro/,lido-azzurro,stabilimenti_01,2026-06-01T15:18:21Z
10051,https://www.spiagge.it/stabilimenti-balneari/10051-pascia-glam-beach/,pascia-glam-beach,stabilimenti_03,2026-06-01T15:18:21Z
10052,https://www.spiagge.it/stabilimenti-balneari/10052-overbeach/,overbeach,stabilimenti_03,2026-06-01T15:18:21Z
10054,https://www.spiagge.it/stabilimenti-balneari/10054-beach-33/,beach-33,stabilimenti_01,2026-06-01T15:18:21Z
10057,https://www.spiagge.it/stabilimenti-balneari/10057-spiaggia-airone/,spiaggia-airone,stabilimenti_01,2026-06-01T15:18:21Z
10058,https://www.spiagge.it/stabilimenti-balneari/10058-bagno-egisto-38/,bagno-egisto-38,stabilimenti_01,2026-06-01T15:18:21Z
10060,https://www.spiagge.it/stabilimenti-balneari/10060-bagno-dei-mille/,bagno-dei-mille,stabilimenti_03,2026-06-01T15:18:21Z
10061,https://www.spiagge.it/stabilimenti-balneari/10061-bau-bau-beach-village/,bau-bau-beach-village,stabilimenti_03,2026-06-01T15:18:21Z
10063,https://www.spiagge.it/stabilimenti-balneari/10063-baia-marina/,baia-marina,stabilimenti_01,2026-06-01T15:18:21Z
10064,https://www.spiagge.it/stabilimenti-balneari/10064-lido-i-due-fratelli/,lido-i-due-fratelli,stabilimenti_01,2026-06-01T15:18:21Z
10065,https://www.spiagge.it/stabilimenti-balneari/10065-bagni-alda/,bagni-alda,stabilimenti_03,2026-06-01T15:18:21Z
